"filename", "language", "JavaScript", "Django HTML", "PHP", "CSS", "SCSS", "JSON", "vue", "Markdown", "XML", "Django txt", "YAML", "comment", "blank", "total"
"c:\laragon\www\bazrasi\database\seeds\DatabaseSeeder.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 25
"c:\laragon\www\bazrasi\database\seeds\FileTypesSeeder.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 23
"c:\laragon\www\bazrasi\database\seeds\PermissionsTableSeeder.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 36
"c:\laragon\www\bazrasi\database\seeds\SettingsTableSeeder.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 47
"c:\laragon\www\bazrasi\database\seeds\TagsTableSeeder.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 26
"c:\laragon\www\bazrasi\database\seeds\UsersTableSeeder.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 23
"c:\laragon\www\bazrasi\package-lock.json", "JSON", 0, 0, 0, 0, 0, 12787, 0, 0, 0, 0, 0, 0, 1, 12788
"c:\laragon\www\bazrasi\package.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\laragon\www\bazrasi\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\laragon\www\bazrasi\public\css\app.css", "CSS", 0, 0, 0, 8865, 0, 0, 0, 0, 0, 0, 0, 6, 2032, 10903
"c:\laragon\www\bazrasi\public\css\digidocu-custom.css", "CSS", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 12, 75
"c:\laragon\www\bazrasi\public\css\lte\AdminLTE.min.css", "CSS", 0, 0, 0, 5662, 0, 0, 0, 0, 0, 0, 0, 8, 3, 5673
"c:\laragon\www\bazrasi\public\css\lte\_all.css", "CSS", 0, 0, 0, 530, 0, 0, 0, 0, 0, 0, 0, 21, 40, 591
"c:\laragon\www\bazrasi\public\css\lte\bootstrap-toggle.min.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 1, 29
"c:\laragon\www\bazrasi\public\css\lte\bootstrap.min.css", "CSS", 0, 0, 0, 7132, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7139
"c:\laragon\www\bazrasi\public\css\lte\buttons.bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\css\lte\dataTables.bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\css\lte\daterangepicker.css", "CSS", 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 1, 73, 411
"c:\laragon\www\bazrasi\public\css\lte\font-awesome.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
